municipio;codEstacao;uf;nomeEstacao;latitude;longitude;offset;datahora;sensor;valorMedida
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 11:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 12:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 12:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 13:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 13:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 14:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 14:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 15:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 15:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 16:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 16:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 17:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 17:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 18:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 18:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 19:00:00.0;nível;8,21
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 19:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 20:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 20:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 21:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 21:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 22:00:00.0;nível;8,20
